id:ID,:LABEL,preflabel,synonyms:IGNORE,name,description
HGNC:11205,GENE,SP1,NA,Sp1 transcription factor,"The protein encoded by this gene is a zinc finger transcription factor that binds to GC-rich motifs of many promoters. The encoded protein is involved in many cellular processes, including cell differentiation, cell growth, apoptosis, immune responses, response to DNA damage, and chromatin remodeling. Post-translational modifications such as phosphorylation, acetylation, glycosylation, and proteolytic processing significantly affect the activity of this protein, which can be an activator or a repressor. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Nov 2014]."
HGNC:3263,GENE,AGO2,CASC7|EIF2C2|LESKRES|LINC00980|PPD|Q10,argonaute RISC catalytic component 2,"This gene encodes a member of the Argonaute family of proteins which play a role in RNA interference. The encoded protein is highly basic, and contains a PAZ domain and a PIWI domain. It may interact with dicer1 and play a role in short-interfering-RNA-mediated gene silencing. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2009]."
HGNC:12520,GENE,UFD1,UFD1L,ubiquitin recognition factor in ER associated degradation 1,"The protein encoded by this gene forms a complex with two other proteins, nuclear protein localization-4 and valosin-containing protein, and this complex is necessary for the degradation of ubiquitinated proteins. In addition, this complex controls the disassembly of the mitotic spindle and the formation of a closed nuclear envelope after mitosis. Mutations in this gene have been associated with Catch 22 syndrome as well as cardiac and craniofacial defects. Alternative splicing results in multiple transcript variants encoding different isoforms. A related pseudogene has been identified on chromosome 18. [provided by RefSeq, Jun 2009]."
GO:0005829,PHYS,cytosol,NA,cytosol,NA
HGNC:2348,GENE,CREBBP,CBP|KAT3A|MKHK1|RSTS|RSTS1,CREB binding protein,"This gene is ubiquitously expressed and is involved in the transcriptional coactivation of many different transcription factors. First isolated as a nuclear protein that binds to cAMP-response element binding protein (CREB), this gene is now known to play critical roles in embryonic development, growth control, and homeostasis by coupling chromatin remodeling to transcription factor recognition. The protein encoded by this gene has intrinsic histone acetyltransferase activity and also acts as a scaffold to stabilize additional protein interactions with the transcription complex. This protein acetylates both histone and non-histone proteins. This protein shares regions of very high sequence similarity with protein p300 in its bromodomain, cysteine-histidine-rich regions, and histone acetyltransferase domain. Mutations in this gene cause Rubinstein-Taybi syndrome (RTS). Chromosomal translocations involving this gene have been associated with acute myeloid leukemia. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Feb 2009]."
HP:0000746,DISO,Delusions,NA,Delusions,NA
HGNC:17142,GENE,OPTN,ALS12|FIP2|GLC1E|HIP7|HYPL|NRP|TFIIIA-INTP,optineurin,"This gene encodes the coiled-coil containing protein optineurin. Optineurin may play a role in normal-tension glaucoma and adult-onset primary open angle glaucoma. Optineurin interacts with adenovirus E3-14.7K protein and may utilize tumor necrosis factor-alpha or Fas-ligand pathways to mediate apoptosis, inflammation or vasoconstriction. Optineurin may also function in cellular morphogenesis and membrane trafficking, vesicle trafficking, and transcription activation through its interactions with the RAB8, huntingtin, and transcription factor IIIA proteins. Alternative splicing results in multiple transcript variants encoding the same protein. [provided by RefSeq, Jul 2008]."
HP:0003470,DISO,Paralysis,NA,Paralysis,NA
HGNC:23332,GENE,COMMD3,BUP|C10orf8,COMM domain containing 3,NA
HGNC:30915,GENE,DCAF7,AN11|HAN11|SWAN-1|WDR68,DDB1 and CUL4 associated factor 7,"This gene encodes a protein with multiple WD40 repeats which facilitate protein-protein interactions and thereby enable the assembly of multiprotein complexes. This protein has been shown to function as a scaffold protein for protein complexes involved in kinase signaling. This highly conserved gene is present in eukaryotic plants, fungi, and animals. The ortholog of this gene was first identified in plants as a key regulator of anthocyanin biosynthesis and flower pigmentation. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2014]."
HGNC:10697,GENE,SEC13,D3S1231E|SEC13L1|SEC13R|npp-20,"SEC13 homolog, nuclear pore and COPII coat complex component","The protein encoded by this gene belongs to the SEC13 family of WD-repeat proteins. It is a constituent of the endoplasmic reticulum and the nuclear pore complex. It has similarity to the yeast SEC13 protein, which is required for vesicle biogenesis from endoplasmic reticulum during the transport of proteins. Multiple alternatively spliced transcript variants have been found. [provided by RefSeq, Oct 2008]."
HGNC:9854,GENE,RANGAP1,Fug1|RANGAP|SD,Ran GTPase activating protein 1,"This gene encodes a protein that associates with the nuclear pore complex and participates in the regulation of nuclear transport. The encoded protein interacts with Ras-related nuclear protein 1 (RAN) and regulates guanosine triphosphate (GTP)-binding and exchange. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2013]."
HGNC:29163,GENE,NINL,NLP,ninein like,NA
HGNC:25530,GENE,HAUS2,C15orf25|CEP27|HsT17025,HAUS augmin like complex subunit 2,"The protein encoded by this gene is a subunit of the augmin complex. The augmin complex plays a role in microtubule attachment to the kinetochore and central spindle formation. [provided by RefSeq, Apr 2016]."
HGNC:11138,GENE,SNCA,NACP|PARK1|PARK4|PD1,synuclein alpha,"Alpha-synuclein is a member of the synuclein family, which also includes beta- and gamma-synuclein. Synucleins are abundantly expressed in the brain and alpha- and beta-synuclein inhibit phospholipase D2 selectively. SNCA may serve to integrate presynaptic signaling and membrane trafficking. Defects in SNCA have been implicated in the pathogenesis of Parkinson disease. SNCA peptides are a major component of amyloid plaques in the brains of patients with Alzheimer's disease. Alternatively spliced transcripts encoding different isoforms have been identified for this gene. [provided by RefSeq, Feb 2016]."
GO:0016234,PHYS,inclusion body,NA,inclusion body,NA
MGI:3800927,GENE,Tg(HTT*97Q)IXwy [FVB-Tg(HTT*97Q)IXwy],NA,NA,NA
HP:0001251,DISO,Ataxia,NA,Ataxia,NA
HGNC:28719,GENE,HAUS3,C4orf15|IT1|dgt3,HAUS augmin like complex subunit 3,"This gene encodes a component of the HAUS augmin-like protein complex, which plays a key role in cytokinesis and mitosis. Disruption of the encoded protein causes mitotic defects resulting from fragmentation of centrosomes and microtubule destabilization. This gene shares its 5' exons with some transcripts from overlapping GeneID: 353497, which encodes a DNA polymerase. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2014]."
HGNC:5253,GENE,HSP90AA1,EL52|HEL-S-65p|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp103|Hsp89|Hsp90|LAP-2|LAP2,heat shock protein 90 alpha family class A member 1,"The protein encoded by this gene is an inducible molecular chaperone that functions as a homodimer. The encoded protein aids in the proper folding of specific target proteins by use of an ATPase activity that is modulated by co-chaperones. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2012]."
MGI:87986,GENE,Akt1,AKT|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA,AKT serine/threonine kinase 1,"This gene encodes one of the three members of the human AKT serine-threonine protein kinase family which are often referred to as protein kinase B alpha, beta, and gamma. These highly similar AKT proteins all have an N-terminal pleckstrin homology domain, a serine/threonine-specific kinase domain and a C-terminal regulatory domain. These proteins are phosphorylated by phosphoinositide 3-kinase (PI3K). AKT/PI3K forms a key component of many signalling pathways that involve the binding of membrane-bound ligands such as receptor tyrosine kinases, G-protein coupled receptors, and integrin-linked kinase. These AKT proteins therefore regulate a wide variety of cellular functions including cell proliferation, survival, metabolism, and angiogenesis in both normal and malignant cells. AKT proteins are recruited to the cell membrane by phosphatidylinositol 3,4,5-trisphosphate (PIP3) after phosphorylation of phosphatidylinositol 4,5-bisphosphate (PIP2) by PI3K. Subsequent phosphorylation of both threonine residue 308 and serine residue 473 is required for full activation of the AKT1 protein encoded by this gene. Phosphorylation of additional residues also occurs, for example, in response to insulin growth factor-1 and epidermal growth factor. Protein phosphatases act as negative regulators of AKT proteins by dephosphorylating AKT or PIP3. The PI3K/AKT signalling pathway is crucial for tumor cell survival. Survival factors can suppress apoptosis in a transcription-independent manner by activating AKT1 which then phosphorylates and inactivates components of the apoptotic machinery. AKT proteins also participate in the mammalian target of rapamycin (mTOR) signalling pathway which controls the assembly of the eukaryotic translation initiation factor 4F (eIF4E) complex and this pathway, in addition to responding to extracellular signals from growth factors and cytokines, is disregulated in many cancers. Mutations in this gene are associated with multiple types of cancer and excessive tissue growth including Proteus syndrome and Cowden syndrome 6, and breast, colorectal, and ovarian cancers. Multiple alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jul 2020]."
GO:0032991,PHYS,protein-containing complex,NA,protein-containing complex,NA
HGNC:30292,GENE,G3BP1,G3BP|HDH-VIII,G3BP stress granule assembly factor 1,"This gene encodes one of the DNA-unwinding enzymes which prefers partially unwound 3'-tailed substrates and can also unwind partial RNA/DNA and RNA/RNA duplexes in an ATP-dependent fashion. This enzyme is a member of the heterogeneous nuclear RNA-binding proteins and is also an element of the Ras signal transduction pathway. It binds specifically to the Ras-GTPase-activating protein by associating with its SH3 domain. Several alternatively spliced transcript variants of this gene have been described, but the full-length nature of some of these variants has not been determined. [provided by RefSeq, Jul 2008]."
HGNC:26407,GENE,LSM12,PNAS-135,LSM12 homolog,NA
ENSEMBL:ENSACAG00000005400,GENE,ENSEMBL:ENSACAG00000005400,NA,NA,NA
HGNC:9554,GENE,PSMD1,P112|Rpn2|S1,"proteasome 26S subunit, non-ATPase 1","The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are composed of 7 beta subunits. The 19S regulator is composed of a base, which contains 6 ATPase subunits and 2 non-ATPase subunits, and a lid, which contains up to 10 non-ATPase subunits. Proteasomes are distributed throughout eukaryotic cells at a high concentration and cleave peptides in an ATP/ubiquitin-dependent process in a non-lysosomal pathway. An essential function of a modified proteasome, the immunoproteasome, is the processing of class I MHC peptides. This gene encodes the largest non-ATPase subunit of the 19S regulator lid, which is responsible for substrate recognition and binding. There is evidence that this proteasome and its subunits interact with viral proteins, including those of coronaviruses. Alternatively spliced transcript variants have been found for this gene.[provided by RefSeq, Aug 2020]."
HGNC:8510,GENE,OSTF1,OSF|SH3P2|bA235O14.1,osteoclast stimulating factor 1,"Osteoclast-stimulating factor-1 is an intracellular protein produced by osteoclasts that indirectly induces osteoclast formation and bone resorption (Reddy et al., 1998 [PubMed 10092216]).[supplied by OMIM, Mar 2008]."
ENSEMBL:ENSFCAG00000004607,GENE,ENSEMBL:ENSFCAG00000004607,NA,NA,NA
HGNC:24808,GENE,TRAFD1,FLN29,TRAF-type zinc finger domain containing 1,"The innate immune system confers host defense against viral and microbial infection, and TRAFD1 is a negative feedback regulator that controls excessive immune responses (Sanada et al., 2008 [PubMed 18849341]).[supplied by OMIM, Dec 2009]."
HGNC:6392,GENE,KIF23,CHO1|KNSL5|MKLP-1|MKLP1,kinesin family member 23,"The protein encoded by this gene is a member of kinesin-like protein family. This family includes microtubule-dependent molecular motors that transport organelles within cells and move chromosomes during cell division. This protein has been shown to cross-bridge antiparallel microtubules and drive microtubule movement in vitro. Alternate splicing of this gene results in multiple transcript variants. [provided by RefSeq, Jul 2013]."
HGNC:17955,GENE,LAMTOR5,HBXIP|XIP,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 5","This gene encodes a protein that specifically complexes with the C-terminus of hepatitis B virus X protein (HBx). The function of this protein is to negatively regulate HBx activity and thus to alter the replication life cycle of the virus. [provided by RefSeq, Jul 2008]."
HGNC:13919,GENE,BAG6,BAG-6|BAT3|D6S52E|G3,BAG cochaperone 6,"This gene was first characterized as part of a cluster of genes located within the human major histocompatibility complex class III region. This gene encodes a nuclear protein that is cleaved by caspase 3 and is implicated in the control of apoptosis. In addition, the protein forms a complex with E1A binding protein p300 and is required for the acetylation of p53 in response to DNA damage. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]."
HGNC:18381,GENE,SYT12,SYT11|sytXII,synaptotagmin 12,"This gene is a member of the synaptotagmin gene family and encodes a protein similar to other family members that mediate calcium-dependent regulation of membrane trafficking in synaptic transmission. Studies of the orthologous gene in rat have shown that the encoded protein selectively modulates spontaneous synaptic-vesicle exocytosis and may also be involved in regulating calcium independent secretion in nonneuronal cells. Alternative splicing results in multiple transcript variants. The gene has previously been referred to as synaptotagmin XI but has been renamed synaptotagmin XII to be standard with mouse and rat official nomenclature.[provided by RefSeq, Apr 2010]."
HGNC:9770,GENE,RAB30,NA,"RAB30, member RAS oncogene family",NA
HGNC:4881,GENE,HEY2,CHF1|GRIDLOCK|GRL|HERP1|HESR2|HRT2|bHLHb32,hes related family bHLH transcription factor with YRPW motif 2,"This gene encodes a member of the hairy and enhancer of split-related (HESR) family of basic helix-loop-helix (bHLH)-type transcription factors. The encoded protein forms homo- or hetero-dimers that localize to the nucleus and interact with a histone deacetylase complex to repress transcription. Expression of this gene is induced by the Notch signal transduction pathway. Two similar and redundant genes in mouse are required for embryonic cardiovascular development, and are also implicated in neurogenesis and somitogenesis. Alternatively spliced transcript variants have been found, but their biological validity has not been determined. [provided by RefSeq, Jul 2008]."
HGNC:4055,GENE,XRCC6,CTC75|CTCBF|G22P1|KU70|ML8|TLAA,X-ray repair cross complementing 6,"The p70/p80 autoantigen is a nuclear complex consisting of two subunits with molecular masses of approximately 70 and 80 kDa. The complex functions as a single-stranded DNA-dependent ATP-dependent helicase. The complex may be involved in the repair of nonhomologous DNA ends such as that required for double-strand break repair, transposition, and V(D)J recombination. High levels of autoantibodies to p70 and p80 have been found in some patients with systemic lupus erythematosus. [provided by RefSeq, Jul 2008]."
HGNC:10303,GENE,RPL13,BBC1|D16S444E|D16S44E|L13|SEMDIST,ribosomal protein L13,"Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 60S subunit. The protein belongs to the L13E family of ribosomal proteins. It is located in the cytoplasm. This gene is expressed at significantly higher levels in benign breast lesions than in breast carcinomas. Alternatively spliced transcript variants encoding distinct isoforms have been found for this gene. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome. [provided by RefSeq, Jul 2011]."
HGNC:129,GENE,ACTA1,ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3|SHPM,"actin alpha 1, skeletal muscle","The product encoded by this gene belongs to the actin family of proteins, which are highly conserved proteins that play a role in cell motility, structure and integrity. Alpha, beta and gamma actin isoforms have been identified, with alpha actins being a major constituent of the contractile apparatus, while beta and gamma actins are involved in the regulation of cell motility. This actin is an alpha actin that is found in skeletal muscle. Mutations in this gene cause a variety of myopathies, including nemaline myopathy, congenital myopathy with excess of thin myofilaments, congenital myopathy with cores, and congenital myopathy with fiber-type disproportion, diseases that lead to muscle fiber defects with manifestations such as hypotonia. [provided by RefSeq, Sep 2019]."
HGNC:17780,GENE,ACTBL2,ACT,actin beta like 2,NA
HGNC:11522,GENE,TACC1,Ga55,transforming acidic coiled-coil containing protein 1,"This locus may represent a breast cancer candidate gene. It is located close to FGFR1 on a region of chromosome 8 that is amplified in some breast cancers. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2017]."
HGNC:17002,GENE,PIAS4,PIAS-gamma|PIASY|Piasg|ZMIZ6,protein inhibitor of activated STAT 4,NA
HGNC:3274,GENE,EIF3G,EIF3-P42|EIF3S4|eIF3-delta|eIF3-p44,eukaryotic translation initiation factor 3 subunit G,"This gene encodes a core subunit of the eukaryotic translation initiation factor 3 (eIF3) complex, which is required for initiation of protein translation. An N-terminal caspase cleavage product of the encoded protein may stimulate degradation of DNA. A mutation in this gene is associated with narcolepsy. [provided by RefSeq, Jul 2016]."
HGNC:6801,GENE,MAGEA3,CT1.3|HIP8|HYPD|MAGE3|MAGEA6,MAGE family member A3,"This gene is a member of the MAGEA gene family. The members of this family encode proteins with 50 to 80% sequence identity to each other. The promoters and first exons of the MAGEA genes show considerable variability, suggesting that the existence of this gene family enables the same function to be expressed under different transcriptional controls. The MAGEA genes are clustered at chromosomal location Xq28. They have been implicated in some hereditary disorders, such as dyskeratosis congenita. [provided by RefSeq, Jul 2008]."
HGNC:2345,GENE,CREB1,CREB|CREB-1,cAMP responsive element binding protein 1,"This gene encodes a transcription factor that is a member of the leucine zipper family of DNA binding proteins. This protein binds as a homodimer to the cAMP-responsive element, an octameric palindrome. The protein is phosphorylated by several protein kinases, and induces transcription of genes in response to hormonal stimulation of the cAMP pathway. Alternate splicing of this gene results in several transcript variants encoding different isoforms. [provided by RefSeq, Mar 2016]."
HGNC:7106,GENE,ATXN3,AT3|ATX3|JOS|MJD|MJD1|SCA3,ataxin 3,"Machado-Joseph disease, also known as spinocerebellar ataxia-3, is an autosomal dominant neurologic disorder. The protein encoded by this gene contains (CAG)n repeats in the coding region, and the expansion of these repeats from the normal 12-44 to 52-86 is one cause of Machado-Joseph disease. There is a negative correlation between the age of onset and CAG repeat numbers. Alternatively spliced transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, Jul 2016]."
HGNC:11280,GENE,SQSTM1,A170|DMRV|FTDALS3|NADGP|OSIL|PDB3|ZIP3|p60|p62|p62B,sequestosome 1,"This gene encodes a multifunctional protein that binds ubiquitin and regulates activation of the nuclear factor kappa-B (NF-kB) signaling pathway. The protein functions as a scaffolding/adaptor protein in concert with TNF receptor-associated factor 6 to mediate activation of NF-kB in response to upstream signals. Alternatively spliced transcript variants encoding either the same or different isoforms have been identified for this gene. Mutations in this gene result in sporadic and familial Paget disease of bone. [provided by RefSeq, Mar 2009]."
HP:0002180,DISO,Neurodegeneration,NA,Neurodegeneration,NA
HGNC:5046,GENE,HNRNPM,CEAR|HNRNPM4|HNRPM|HNRPM4|HTGR1|NAGR1|hnRNP M,heterogeneous nuclear ribonucleoprotein M,"This gene belongs to the subfamily of ubiquitously expressed heterogeneous nuclear ribonucleoproteins (hnRNPs). The hnRNPs are RNA binding proteins and they complex with heterogeneous nuclear RNA (hnRNA). These proteins are associated with pre-mRNAs in the nucleus and appear to influence pre-mRNA processing and other aspects of mRNA metabolism and transport. While all of the hnRNPs are present in the nucleus, some seem to shuttle between the nucleus and the cytoplasm. The hnRNP proteins have distinct nucleic acid binding properties. The protein encoded by this gene has three repeats of quasi-RRM domains that bind to RNAs. This protein also constitutes a monomer of the N-acetylglucosamine-specific receptor which is postulated to trigger selective recycling of immature GlcNAc-bearing thyroglobulin molecules. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2011]."
HGNC:1918,GENE,CHD3,Mi-2a|Mi2-ALPHA|SNIBCPS|ZFH,chromodomain helicase DNA binding protein 3,"This gene encodes a member of the CHD family of proteins which are characterized by the presence of chromo (chromatin organization modifier) domains and SNF2-related helicase/ATPase domains. This protein is one of the components of a histone deacetylase complex referred to as the Mi-2/NuRD complex which participates in the remodeling of chromatin by deacetylating histones. Chromatin remodeling is essential for many processes including transcription. Autoantibodies against this protein are found in a subset of patients with dermatomyositis. Three alternatively spliced transcripts encoding different isoforms have been described. [provided by RefSeq, Jul 2008]."
MP:0000438,DISO,abnormal cranium morphology,NA,abnormal cranium morphology,NA
HGNC:9281,GENE,PPP1CA,PP-1A|PP1A|PP1alpha|PPP1A,protein phosphatase 1 catalytic subunit alpha,"The protein encoded by this gene is one of the three catalytic subunits of protein phosphatase 1 (PP1). This broadly expressed gene encodes the alpha subunit of the PP1 complex that associates with over 200 regulatory proteins to form holoenzymes which dephosphorylate their biological targets with high specificity. PP1 is a serine/threonine specific protein phosphatase known to be involved in the regulation of a variety of cellular processes, such as cell division, glycogen metabolism, muscle contractility, protein synthesis, and HIV-1 viral transcription. Increased PP1 activity has been observed in the end stage of heart failure. Studies suggest that PP1 is an important regulator of cardiac function and that PP1 deregulation is implicated in diabetes and multiple types of cancer. Three alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2020]."
HGNC:16031,GENE,RNF31,HOIP|Paul|ZIBRA,ring finger protein 31,"The protein encoded by this gene contains a RING finger, a motif present in a variety of functionally distinct proteins and known to be involved in protein-DNA and protein-protein interactions. The encoded protein is the E3 ubiquitin-protein ligase component of the linear ubiquitin chain assembly complex. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2015]."
HGNC:6628,GENE,LLGL1,DLG4|HUGL|HUGL-1|HUGL1|LLGL|Lgl1|Mgl1,LLGL scribble cell polarity complex component 1,"This gene encodes a protein that is similar to a tumor suppressor in Drosophila. The protein is part of a cytoskeletal network and is associated with nonmuscle myosin II heavy chain and a kinase that specifically phosphorylates this protein at serine residues. The gene is located within the Smith-Magenis syndrome region on chromosome 17. [provided by RefSeq, Jul 2008]."
HGNC:19200,GENE,DPPA4,2410091M23Rik,developmental pluripotency associated 4,"This gene encodes a nuclear factor that is involved in the maintenance of pluripotency in stem cells and essential for embryogenesis. The encoded protein has a scaffold-attachment factor A/B, acinus and PIAS (SAP) domain that binds DNA and is thought to modify chromatin. Mice with a homozygous knockout of the orthologous gene die during late embryonic development or within hours after birth. Knockout embryos are normal in size at embryonic day 18.5 but exhibit skeletal and lung tissue abnormalities. This gene, when mutated, is highly expressed in embryonal carcinomas, pluripotent germ cell tumors, and other cancers and is thought to play an important role in tumor progression. Multiple pseudogenes of this gene have been identified. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2017]."
HGNC:4586,GENE,GRIN2B,DEE27|EIEE27|GluN2B|MRD6|NMDAR2B|NR2B|NR3|hNR3,glutamate ionotropic receptor NMDA type subunit 2B,"This gene encodes a member of the N-methyl-D-aspartate (NMDA) receptor family within the ionotropic glutamate receptor superfamily. The encoded protein is a subunit of the NMDA receptor ion channel which acts as an agonist binding site for glutamate. The NMDA receptors mediate a slow calcium-permeable component of excitatory synaptic transmission in the central nervous system. The NMDA receptors are heterotetramers of seven genetically encoded, differentially expressed subunits including NR1 (GRIN1), NR2 (GRIN2A, GRIN2B, GRIN2C, or GRIN2D) and NR3 (GRIN3A or GRIN3B). The early expression of this gene in development suggests a role in brain development, circuit formation, synaptic plasticity, and cellular migration and differentiation. Naturally occurring mutations within this gene are associated with neurodevelopmental disorders including autism spectrum disorder, attention deficit hyperactivity disorder, epilepsy, and schizophrenia. [provided by RefSeq, Aug 2017]."
HGNC:18039,GENE,KDM5B,CT31|JARID1B|MRT65|PLU-1|PLU1|PPP1R98|PUT1|RBBP2H1A|RBP2-H1,lysine demethylase 5B,"This gene encodes a lysine-specific histone demethylase that belongs to the jumonji/ARID domain-containing family of histone demethylases. The encoded protein is capable of demethylating tri-, di- and monomethylated lysine 4 of histone H3. This protein plays a role in the transcriptional repression or certain tumor suppressor genes and is upregulated in certain cancer cells. This protein may also play a role in genome stability and DNA repair. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Nov 2016]."
HGNC:5010,GENE,HMGA1,HMG-R|HMGA1A|HMGIY,high mobility group AT-hook 1,"This gene encodes a chromatin-associated protein involved in the regulation of gene transcription, integration of retroviruses into chromosomes, and the metastatic progression of cancer cells. The encoded protein preferentially binds to the minor groove of AT-rich regions in double-stranded DNA. Multiple transcript variants encoding different isoforms have been found for this gene. Pseudogenes of this gene have been identified on multiple chromosomes. [provided by RefSeq, Jan 2016]."
HGNC:11571,GENE,TARDBP,ALS10|TDP-43,TAR DNA binding protein,"HIV-1, the causative agent of acquired immunodeficiency syndrome (AIDS), contains an RNA genome that produces a chromosomally integrated DNA during the replicative cycle. Activation of HIV-1 gene expression by the transactivator Tat is dependent on an RNA regulatory element (TAR) located downstream of the transcription initiation site. The protein encoded by this gene is a transcriptional repressor that binds to chromosomally integrated TAR DNA and represses HIV-1 transcription. In addition, this protein regulates alternate splicing of the CFTR gene. A similar pseudogene is present on chromosome 20. [provided by RefSeq, Jul 2008]."
HGNC:4566,GENE,GRB2,ASH|EGFRBP-GRB2|Grb3-3|MST084|MSTP084|NCKAP2,growth factor receptor bound protein 2,"The protein encoded by this gene binds the epidermal growth factor receptor and contains one SH2 domain and two SH3 domains. Its two SH3 domains direct complex formation with proline-rich regions of other proteins, and its SH2 domain binds tyrosine phosphorylated sequences. This gene is similar to the Sem5 gene of C.elegans, which is involved in the signal transduction pathway. Two alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]."
HP:0002591,DISO,Polyphagia,NA,Polyphagia,NA
HGNC:6912,GENE,MATR3,ALS21|MPD2|VCPDM,matrin 3,"This gene encodes a nuclear matrix protein, which is proposed to stabilize certain messenger RNA species. Mutations of this gene are associated with distal myopathy 2, which often includes vocal cord and pharyngeal weakness. Alternatively spliced transcript variants, including read-through transcripts composed of the upstream small nucleolar RNA host gene 4 (non-protein coding) and matrin 3 gene sequence, have been identified. Pseudogenes of this gene are located on chromosomes 1 and X. [provided by RefSeq, Aug 2013]."
MGI:2671158,GENE,Tg(HD82Gln)81Gschi [involves: C3H/HeJ * C57BL/6],NA,NA,NA
GO:0005783,PHYS,endoplasmic reticulum,NA,endoplasmic reticulum,NA
HP:0000726,DISO,Dementia,NA,Dementia,NA
HGNC:13890,GENE,ITCH,ADMFD|AIF4|AIP4|NAPP1,itchy E3 ubiquitin protein ligase,"This gene encodes a member of the Nedd4 family of HECT domain E3 ubiquitin ligases. HECT domain E3 ubiquitin ligases transfer ubiquitin from E2 ubiquitin-conjugating enzymes to protein substrates, thus targeting specific proteins for lysosomal degradation. The encoded protein plays a role in multiple cellular processes including erythroid and lymphoid cell differentiation and the regulation of immune responses. Mutations in this gene are a cause of syndromic multisystem autoimmune disease. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Mar 2012]."
HGNC:9533,GENE,PSMA4,HC9|HsT17706|PSC9,proteasome 20S subunit alpha 4,"This gene encodes a core alpha subunit of the 20S proteosome, which is a highly ordered ring-shaped structure composed of four rings of 28 non-identical subunits. Proteasomes cleave peptides in an ATP- and ubiquitin-dependent manner. [provided by RefSeq, Aug 2016]."
HGNC:4913,GENE,HIP1,HIP-I|ILWEQ|SHON|SHONbeta|SHONgamma,huntingtin interacting protein 1,"The product of this gene is a membrane-associated protein that functions in clathrin-mediated endocytosis and protein trafficking within the cell. The encoded protein binds to the huntingtin protein in the brain; this interaction is lost in Huntington's disease. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2013]."
HGNC:30221,GENE,UBAC1,GBDR1|KPC2|UBADC1,UBA domain containing 1,NA
GO:0005515,PHYS,protein binding,NA,protein binding,NA
HGNC:11343,GENE,ST13,AAG2|FAM10A1|FAM10A4|HIP|HOP|HSPABP|HSPABP1|P48|PRO0786|SNC6,ST13 Hsp70 interacting protein,"The protein encoded by this gene is an adaptor protein that mediates the association of the heat shock proteins HSP70 and HSP90. This protein has been shown to be involved in the assembly process of glucocorticoid receptor, which requires the assistance of multiple molecular chaperones. The expression of this gene is reported to be downregulated in colorectal carcinoma tissue suggesting that it is a candidate tumor suppressor gene. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jun 2013]."
HGNC:20234,GENE,EVL,RNB6,Enah/Vasp-like,NA
HGNC:30899,GENE,ZNF655,VIK|VIK-1,zinc finger protein 655,"This gene encodes a zinc finger protein. The zinc finger proteins are involved in DNA binding and protein-protein interactions. Multiple alternatively spliced transcript variants encoding distinct isoforms have been found for this gene. [provided by RefSeq, Jul 2008]."
HGNC:18418,GENE,HYPK,C15orf63|HSPC136,huntingtin interacting protein K,NA
